Zero one Mean,Zero one Std,Hamming Mean,Hamming Std,F1 Mean,F1 Std,Phi avg Mean,Phi avg Std,Phi max Mean,Phi max Std,Psi avg Mean,Psi avg Std,Psi max Mean,Psi max Std,model
0.9531,0.0145,0.4123,0.0231,0.4725,0.0241,0.2313,0.0739,0.6315,0.1681,0.5893,0.0467,0.8250,0.1456,DMPCC_KMs-Subset
0.9513,0.0167,0.4135,0.0236,0.4747,0.0236,0.2358,0.0599,0.6851,0.2085,0.5988,0.0340,0.8804,0.1465,DMPCC_KMs-Hamming
0.9875,0.0106,0.4209,0.0190,0.6301,0.0183,0.7288,0.0650,0.9881,0.0184,0.8435,0.0590,1.0000,0.0000,DMPCC_KMs-F1
0.9063,0.0219,0.3353,0.0206,0.5864,0.0275,0.4401,0.0257,0.9629,0.0228,0.6828,0.0203,1.0000,0.0000,PCC_DBC-Subset
0.9063,0.0219,0.3347,0.0209,0.5871,0.0279,0.4409,0.0263,0.9629,0.0228,0.6828,0.0203,1.0000,0.0000,PCC_DBC-Hamming
0.9098,0.0277,0.3374,0.0201,0.5939,0.0292,0.4649,0.0406,0.9629,0.0228,0.6998,0.0250,1.0000,0.0000,PCC_DBC-F1
0.8943,0.0440,0.3452,0.0181,0.5617,0.0238,0.3937,0.0322,0.9853,0.0094,0.6589,0.0205,1.0000,0.0000,PCC_DBC_ROS-Subset
0.8943,0.0440,0.3440,0.0190,0.5626,0.0246,0.3934,0.0339,0.9853,0.0094,0.6573,0.0223,1.0000,0.0000,PCC_DBC_ROS-Hamming
0.8923,0.0336,0.3437,0.0163,0.5702,0.0233,0.4003,0.0337,0.9853,0.0094,0.6627,0.0221,1.0000,0.0000,PCC_DBC_ROS-F1
0.9496,0.0092,0.4237,0.0130,0.4896,0.0140,0.1961,0.0899,0.4465,0.2052,0.5669,0.0682,0.7656,0.1438,DMPCC_KMus-Subset
0.9550,0.0149,0.4222,0.0118,0.4925,0.0162,0.1925,0.0847,0.4494,0.2043,0.5636,0.0690,0.7702,0.1372,DMPCC_KMus-Hamming
0.9730,0.0055,0.4795,0.0255,0.5383,0.0165,0.4309,0.0811,0.7837,0.0275,0.7026,0.0530,0.9098,0.0499,DMPCC_KMus-F1
0.8937,0.0184,0.3706,0.0259,0.5360,0.0205,0.3548,0.0465,0.8923,0.0867,0.6561,0.0333,0.9500,0.1000,PCC_DT-Subset
0.8937,0.0184,0.3706,0.0259,0.5360,0.0205,0.3548,0.0465,0.8923,0.0867,0.6561,0.0333,0.9500,0.1000,PCC_DT-Hamming
0.8937,0.0184,0.3706,0.0259,0.5360,0.0205,0.3548,0.0465,0.8923,0.0867,0.6561,0.0333,0.9500,0.1000,PCC_DT-F1
0.8972,0.0327,0.3620,0.0231,0.5422,0.0320,0.3758,0.0330,0.9407,0.0725,0.6641,0.0378,0.9667,0.0667,PCC_WDT-Subset
0.8972,0.0327,0.3620,0.0231,0.5422,0.0320,0.3758,0.0330,0.9407,0.0725,0.6641,0.0378,0.9667,0.0667,PCC_WDT-Hamming
0.8972,0.0327,0.3620,0.0231,0.5422,0.0320,0.3758,0.0330,0.9407,0.0725,0.6641,0.0378,0.9667,0.0667,PCC_WDT-F1
0.8795,0.0251,0.3525,0.0174,0.5555,0.0297,0.3689,0.0452,0.9610,0.0162,0.6487,0.0322,1.0000,0.0000,PCC_DT_ROS-Subset
0.8795,0.0251,0.3525,0.0174,0.5555,0.0297,0.3689,0.0452,0.9610,0.0162,0.6487,0.0322,1.0000,0.0000,PCC_DT_ROS-Hamming
0.8777,0.0270,0.3522,0.0179,0.5558,0.0301,0.3693,0.0451,0.9610,0.0162,0.6487,0.0322,1.0000,0.0000,PCC_DT_ROS-F1
0.8901,0.0246,0.3680,0.0409,0.5467,0.0419,0.3017,0.0503,0.8326,0.1446,0.5941,0.0480,0.9680,0.0640,DMPCC_DT-Subset
0.9045,0.0419,0.3763,0.0372,0.5302,0.0367,0.3306,0.0175,0.8493,0.1325,0.6143,0.0248,0.9520,0.0960,DMPCC_DT-Hamming
0.9244,0.0142,0.4030,0.0325,0.5934,0.0134,0.4320,0.0918,0.7988,0.0864,0.6609,0.0483,0.9378,0.0577,DMPCC_DT-F1
0.8143,0.0367,0.3116,0.0095,0.6350,0.0161,0.4581,0.0312,0.9750,0.0324,0.6699,0.0287,0.9920,0.0160,PCC_LR-Subset
0.8432,0.0177,0.3050,0.0099,0.6249,0.0179,0.5216,0.0182,0.9755,0.0265,0.7052,0.0232,0.9920,0.0160,PCC_LR-Hamming
