Zero one Mean,Zero one Std,Hamming Mean,Hamming Std,F1 Mean,F1 Std,Phi avg Mean,Phi avg Std,Phi max Mean,Phi max Std,Psi avg Mean,Psi avg Std,Psi max Mean,Psi max Std,model
0.7889,0.0537,0.2488,0.0149,0.6228,0.0206,0.0878,0.0339,0.1683,0.0533,0.2983,0.0258,0.4725,0.0403,DMPCC_KMs-Subset
0.7855,0.0549,0.2476,0.0151,0.6275,0.0196,0.0873,0.0373,0.1781,0.0691,0.2961,0.0254,0.4708,0.0546,DMPCC_KMs-Hamming
0.8961,0.0300,0.3322,0.0113,0.6147,0.0130,0.3069,0.0505,0.5150,0.1294,0.4294,0.0195,0.6468,0.0891,DMPCC_KMs-F1
0.7522,0.0410,0.2287,0.0160,0.5894,0.0307,0.2149,0.0248,0.3979,0.1241,0.3802,0.0291,0.5506,0.0966,PCC_DBC-Subset
0.7555,0.0416,0.2298,0.0162,0.5882,0.0316,0.2136,0.0265,0.3979,0.1241,0.3805,0.0302,0.5506,0.0966,PCC_DBC-Hamming
0.7624,0.0417,0.2343,0.0182,0.6012,0.0289,0.1615,0.0322,0.3207,0.1231,0.3474,0.0358,0.5178,0.1021,PCC_DBC-F1
0.7593,0.0291,0.2244,0.0105,0.6020,0.0343,0.1981,0.0492,0.3543,0.0818,0.3636,0.0394,0.5309,0.0412,PCC_DBC_ROS-Subset
0.7576,0.0273,0.2233,0.0097,0.6009,0.0312,0.2016,0.0492,0.3503,0.0738,0.3650,0.0375,0.5242,0.0351,PCC_DBC_ROS-Hamming
0.7474,0.0234,0.2243,0.0136,0.6243,0.0252,0.1358,0.0391,0.2630,0.0654,0.3186,0.0303,0.4638,0.0653,PCC_DBC_ROS-F1
0.7727,0.0356,0.2342,0.0215,0.6271,0.0428,0.1031,0.0250,0.2236,0.0395,0.3008,0.0354,0.4275,0.0378,DMPCC_KMus-Subset
0.7726,0.0346,0.2353,0.0223,0.6260,0.0419,0.0997,0.0250,0.2212,0.0428,0.2998,0.0335,0.4275,0.0378,DMPCC_KMus-Hamming
0.8705,0.0289,0.2991,0.0152,0.6102,0.0111,0.1796,0.0399,0.5149,0.0907,0.3580,0.0242,0.6161,0.0644,DMPCC_KMus-F1
