Zero one Mean,Zero one Std,Hamming Mean,Hamming Std,F1 Mean,F1 Std,Phi avg Mean,Phi avg Std,Phi max Mean,Phi max Std,Psi avg Mean,Psi avg Std,Psi max Mean,Psi max Std,model
0.9345,0.0617,0.3729,0.0360,0.5535,0.0345,0.2476,0.0164,0.5193,0.1156,0.5381,0.0501,0.7935,0.0851,DMPCC_KMs-Subset
0.9345,0.0617,0.3715,0.0392,0.5515,0.0426,0.2496,0.0355,0.4934,0.1345,0.5371,0.0578,0.7935,0.0851,DMPCC_KMs-Hamming
0.9646,0.0256,0.4090,0.0248,0.6420,0.0217,0.5493,0.0767,0.9447,0.0888,0.7268,0.0332,0.9714,0.0571,DMPCC_KMs-F1
0.8905,0.0336,0.2957,0.0281,0.6726,0.0322,0.4645,0.0585,0.9806,0.0258,0.6411,0.0686,1.0000,0.0000,PCC_DBC-Subset
0.8750,0.0378,0.2907,0.0261,0.6787,0.0326,0.4658,0.0637,0.9871,0.0158,0.6384,0.0692,1.0000,0.0000,PCC_DBC-Hamming
0.8910,0.0439,0.3037,0.0200,0.6777,0.0237,0.4800,0.0464,0.9742,0.0376,0.6601,0.0258,1.0000,0.0000,PCC_DBC-F1
0.8667,0.0636,0.3078,0.0330,0.6592,0.0351,0.4343,0.1016,0.8548,0.1978,0.6253,0.0623,0.9556,0.0889,PCC_DBC_ROS-Subset
0.8667,0.0636,0.3077,0.0311,0.6599,0.0275,0.4387,0.0922,0.8689,0.2038,0.6300,0.0579,0.9556,0.0889,PCC_DBC_ROS-Hamming
0.8928,0.0579,0.2984,0.0234,0.6907,0.0194,0.4635,0.1027,0.9935,0.0129,0.6383,0.0636,1.0000,0.0000,PCC_DBC_ROS-F1
0.8959,0.0410,0.3359,0.0269,0.5892,0.0567,0.1934,0.0369,0.4172,0.0373,0.4596,0.0441,0.6213,0.0613,DMPCC_KMus-Subset
0.8915,0.0424,0.3347,0.0328,0.5720,0.0543,0.1806,0.0683,0.3583,0.0851,0.4480,0.0583,0.5898,0.0920,DMPCC_KMus-Hamming
0.9416,0.0216,0.3921,0.0543,0.6465,0.0601,0.4257,0.0383,0.9134,0.1345,0.6393,0.0361,0.9405,0.0970,DMPCC_KMus-F1
0.8202,0.0522,0.3194,0.0216,0.6330,0.0301,0.3020,0.0330,0.7156,0.1013,0.5403,0.0277,0.8453,0.0824,PCC_DT-Subset
0.8202,0.0522,0.3194,0.0216,0.6330,0.0301,0.3020,0.0330,0.7156,0.1013,0.5403,0.0277,0.8453,0.0824,PCC_DT-Hamming
0.8259,0.0601,0.3243,0.0259,0.6287,0.0285,0.3027,0.0341,0.7084,0.0891,0.5451,0.0341,0.8453,0.0824,PCC_DT-F1
0.8709,0.0343,0.3026,0.0210,0.6567,0.0255,0.3392,0.0508,0.6901,0.0912,0.5420,0.0532,0.7800,0.1288,PCC_WDT-Subset
0.8709,0.0343,0.3026,0.0210,0.6567,0.0255,0.3392,0.0508,0.6901,0.0912,0.5420,0.0532,0.7800,0.1288,PCC_WDT-Hamming
0.8709,0.0343,0.3026,0.0210,0.6567,0.0255,0.3392,0.0508,0.6901,0.0912,0.5420,0.0532,0.7800,0.1288,PCC_WDT-F1
0.8357,0.0457,0.2961,0.0243,0.6575,0.0173,0.2889,0.0441,0.6680,0.0274,0.5064,0.0550,0.7951,0.0669,PCC_DT_ROS-Subset
0.8357,0.0457,0.2961,0.0243,0.6575,0.0173,0.2889,0.0441,0.6680,0.0274,0.5064,0.0550,0.7951,0.0669,PCC_DT_ROS-Hamming
0.8357,0.0457,0.2961,0.0243,0.6575,0.0173,0.2889,0.0441,0.6680,0.0274,0.5064,0.0550,0.7951,0.0669,PCC_DT_ROS-F1
0.9086,0.0653,0.3458,0.0258,0.5921,0.0463,0.2814,0.0494,0.6132,0.0921,0.5267,0.0329,0.7907,0.1130,DMPCC_DT-Subset
0.9291,0.0271,0.3252,0.0178,0.5899,0.0421,0.2680,0.0668,0.5511,0.0916,0.5023,0.0304,0.7307,0.0453,DMPCC_DT-Hamming
0.9591,0.0114,0.3878,0.0187,0.6303,0.0184,0.4326,0.0566,0.8894,0.0934,0.6357,0.0374,0.9611,0.0458,DMPCC_DT-F1
0.8019,0.0578,0.2848,0.0305,0.6746,0.0438,0.4214,0.0640,0.8576,0.1349,0.5971,0.0591,0.9467,0.0686,PCC_LR-Subset
0.8415,0.0519,0.2646,0.0248,0.6904,0.0280,0.4325,0.0678,0.9037,0.0803,0.5892,0.0635,0.9800,0.0400,PCC_LR-Hamming
0.9076,0.0316,0.2832,0.0137,0.7238,0.0215,0.5354,0.0332,0.9833,0.0333,0.6632,0.0295,0.9833,0.0333,PCC_LR-F1
0.7940,0.0403,0.3124,0.0278,0.6304,0.0377,0.2346,0.0278,0.5051,0.0814,0.4724,0.0415,0.7100,0.0890,PCC_WLR-Subset
0.8694,0.0362,0.2903,0.0179,0.6313,0.0312,0.2228,0.0375,0.5043,0.1786,0.4424,0.0507,0.7382,0.1462,PCC_WLR-Hamming
0.9172,0.0112,0.3352,0.0165,0.6892,0.0288,0.4912,0.0706,0.9010,0.0708,0.6315,0.0472,0.9417,0.0500,PCC_WLR-F1
0.8033,0.0652,0.2839,0.0315,0.6789,0.0451,0.4164,0.0639,0.8370,0.1204,0.5914,0.0706,0.9357,0.0969,PCC_LR_ROS-Subset
0.8689,0.0651,0.2832,0.0278,0.6657,0.0429,0.4416,0.0676,0.8947,0.0448,0.6111,0.0674,0.9857,0.0286,PCC_LR_ROS-Hamming
0.9247,0.0556,0.3017,0.0290,0.7089,0.0290,0.5016,0.0622,0.9933,0.0133,0.6533,0.0654,1.0000,0.0000,PCC_LR_ROS-F1
0.8195,0.0448,0.3154,0.0379,0.6328,0.0302,0.2621,0.0234,0.5492,0.1032,0.5018,0.0342,0.7564,0.1322,DMPCC_LR-Subset
0.8755,0.0294,0.3036,0.0379,0.6304,0.0348,0.2444,0.0558,0.5230,0.1640,0.4732,0.0612,0.7203,0.1494,DMPCC_LR-Hamming
0.9228,0.0394,0.3139,0.0384,0.6923,0.0278,0.4742,0.0515,0.8921,0.0700,0.6304,0.0215,0.9498,0.0413,DMPCC_LR-F1
0.9522,0.0391,0.3638,0.0381,0.5559,0.0671,0.2203,0.0692,0.4808,0.2065,0.4963,0.0391,0.7328,0.1534,DMBRC-Subset
0.9522,0.0391,0.3638,0.0381,0.5559,0.0671,0.2203,0.0692,0.4808,0.2065,0.4963,0.0391,0.7328,0.1534,DMBRC-Hamming
0.9522,0.0391,0.3638,0.0381,0.5559,0.0671,0.2203,0.0692,0.4808,0.2065,0.4963,0.0391,0.7328,0.1534,DMBRC-F1
