Zero one Mean,Zero one Std,Hamming Mean,Hamming Std,F1 Mean,F1 Std,Phi avg Mean,Phi avg Std,Phi max Mean,Phi max Std,Psi avg Mean,Psi avg Std,Psi max Mean,Psi max Std,model
0.7234,0.0100,0.2637,0.0140,0.5907,0.0212,0.0557,0.0143,0.1080,0.0386,0.2988,0.0147,0.3715,0.0284,DMPCC_KMs-Subset
0.7224,0.0094,0.2629,0.0140,0.5920,0.0215,0.0555,0.0145,0.1088,0.0446,0.2979,0.0140,0.3673,0.0274,DMPCC_KMs-Hamming
0.8855,0.0068,0.3963,0.0228,0.5414,0.0145,0.3448,0.0379,0.5902,0.0967,0.4851,0.0304,0.6832,0.0712,DMPCC_KMs-F1
0.5892,0.0186,0.1892,0.0086,0.5876,0.0046,0.2923,0.0089,0.3905,0.0345,0.4087,0.0069,0.4933,0.0305,PCC_DBC-Subset
0.5897,0.0192,0.1894,0.0086,0.5873,0.0044,0.2909,0.0079,0.3912,0.0349,0.4080,0.0055,0.4915,0.0331,PCC_DBC-Hamming
0.6222,0.0191,0.2016,0.0078,0.5835,0.0085,0.2436,0.0198,0.3273,0.0192,0.3854,0.0172,0.4603,0.0118,PCC_DBC-F1
0.5991,0.0182,0.1906,0.0056,0.5873,0.0115,0.2842,0.0208,0.3667,0.0374,0.4042,0.0161,0.5026,0.0417,PCC_DBC_ROS-Subset
0.6001,0.0190,0.1908,0.0056,0.5868,0.0117,0.2844,0.0207,0.3667,0.0374,0.4046,0.0161,0.5043,0.0421,PCC_DBC_ROS-Hamming
0.6141,0.0232,0.1958,0.0056,0.5846,0.0127,0.2653,0.0192,0.3340,0.0402,0.3952,0.0166,0.4915,0.0411,PCC_DBC_ROS-F1
0.6870,0.0341,0.2317,0.0167,0.5896,0.0151,0.1307,0.0326,0.2353,0.0604,0.3294,0.0203,0.4185,0.0378,DMPCC_KMus-Subset
0.6880,0.0345,0.2319,0.0166,0.5890,0.0153,0.1301,0.0331,0.2364,0.0641,0.3291,0.0209,0.4203,0.0388,DMPCC_KMus-Hamming
0.8284,0.0430,0.3302,0.0392,0.5519,0.0145,0.1884,0.0639,0.3125,0.0828,0.3883,0.0437,0.4731,0.0340,DMPCC_KMus-F1
0.6447,0.0128,0.2419,0.0080,0.5226,0.0119,0.2948,0.0137,0.3844,0.0234,0.4646,0.0145,0.5476,0.0144,PCC_DT-Subset
0.6447,0.0128,0.2419,0.0080,0.5226,0.0119,0.2948,0.0137,0.3844,0.0234,0.4646,0.0145,0.5476,0.0144,PCC_DT-Hamming
0.6447,0.0128,0.2419,0.0080,0.5226,0.0119,0.2948,0.0137,0.3844,0.0234,0.4646,0.0145,0.5476,0.0144,PCC_DT-F1
0.6401,0.0193,0.2350,0.0078,0.5256,0.0209,0.2998,0.0165,0.4109,0.0293,0.4617,0.0191,0.5535,0.0324,PCC_WDT-Subset
0.6401,0.0193,0.2350,0.0078,0.5256,0.0209,0.2998,0.0165,0.4109,0.0293,0.4617,0.0191,0.5535,0.0324,PCC_WDT-Hamming
0.6401,0.0193,0.2350,0.0078,0.5256,0.0209,0.2998,0.0165,0.4109,0.0293,0.4617,0.0191,0.5535,0.0324,PCC_WDT-F1
0.6580,0.0207,0.2522,0.0093,0.4958,0.0203,0.3094,0.0089,0.4017,0.0332,0.4848,0.0117,0.5983,0.0399,PCC_DT_ROS-Subset
0.6580,0.0207,0.2522,0.0093,0.4958,0.0203,0.3094,0.0089,0.4017,0.0332,0.4848,0.0117,0.5983,0.0399,PCC_DT_ROS-Hamming
0.6580,0.0207,0.2522,0.0093,0.4958,0.0203,0.3094,0.0089,0.4017,0.0332,0.4848,0.0117,0.5983,0.0399,PCC_DT_ROS-F1
0.6484,0.0280,0.2474,0.0124,0.5061,0.0287,0.3122,0.0304,0.4212,0.0419,0.4830,0.0287,0.5749,0.0314,DMPCC_DT-Subset
