Zero one Mean,Zero one Std,Hamming Mean,Hamming Std,F1 Mean,F1 Std,Phi avg Mean,Phi avg Std,Phi max Mean,Phi max Std,Psi avg Mean,Psi avg Std,Psi max Mean,Psi max Std,model
0.9817,0.0130,0.3206,0.0157,0.2473,0.0175,0.2208,0.0323,0.5318,0.1087,0.4846,0.0274,0.7500,0.0000,DMPCC_KMs-Subset
0.9828,0.0138,0.3203,0.0145,0.2457,0.0198,0.2248,0.0414,0.5841,0.2057,0.4860,0.0351,0.8000,0.1000,DMPCC_KMs-Hamming
0.9979,0.0041,0.5245,0.0268,0.2373,0.0103,0.4353,0.0370,0.8753,0.0678,0.5951,0.0272,0.9261,0.0303,DMPCC_KMs-F1
0.7987,0.0189,0.1143,0.0037,0.3133,0.0178,0.6719,0.0321,0.9937,0.0040,0.7401,0.0280,1.0000,0.0000,PCC_DBC-Subset
0.7998,0.0182,0.1141,0.0034,0.3125,0.0185,0.6729,0.0325,0.9937,0.0040,0.7406,0.0286,1.0000,0.0000,PCC_DBC-Hamming
0.8060,0.0221,0.1150,0.0037,0.3088,0.0195,0.6725,0.0301,0.9937,0.0040,0.7412,0.0270,1.0000,0.0000,PCC_DBC-F1
0.8056,0.0187,0.1142,0.0066,0.3083,0.0211,0.6827,0.0397,0.9938,0.0076,0.7504,0.0317,1.0000,0.0000,PCC_DBC_ROS-Subset
0.8056,0.0187,0.1142,0.0066,0.3083,0.0211,0.6827,0.0397,0.9938,0.0076,0.7504,0.0317,1.0000,0.0000,PCC_DBC_ROS-Hamming
0.8107,0.0214,0.1153,0.0061,0.3065,0.0212,0.6799,0.0366,0.9927,0.0070,0.7488,0.0295,1.0000,0.0000,PCC_DBC_ROS-F1
0.9429,0.0271,0.2080,0.0226,0.3159,0.0248,0.4124,0.0478,0.9271,0.0956,0.5799,0.0335,0.9714,0.0571,DMPCC_KMus-Subset
0.9419,0.0277,0.2066,0.0222,0.3191,0.0256,0.4118,0.0472,0.9282,0.0935,0.5779,0.0335,0.9714,0.0571,DMPCC_KMus-Hamming
0.9929,0.0041,0.4313,0.0652,0.2707,0.0215,0.4907,0.0727,0.9307,0.0694,0.6382,0.0441,0.9665,0.0670,DMPCC_KMus-F1
0.8712,0.0044,0.1483,0.0047,0.2079,0.0183,0.7361,0.0246,0.9778,0.0111,0.8313,0.0192,1.0000,0.0000,PCC_DT-Subset
0.8712,0.0044,0.1483,0.0047,0.2079,0.0183,0.7361,0.0246,0.9778,0.0111,0.8313,0.0192,1.0000,0.0000,PCC_DT-Hamming
0.8712,0.0044,0.1483,0.0047,0.2079,0.0183,0.7361,0.0246,0.9778,0.0111,0.8313,0.0192,1.0000,0.0000,PCC_DT-F1
0.8377,0.0380,0.1393,0.0041,0.2063,0.0345,0.7586,0.0336,0.9810,0.0064,0.8414,0.0340,1.0000,0.0000,PCC_WDT-Subset
0.8377,0.0380,0.1393,0.0041,0.2063,0.0345,0.7586,0.0336,0.9810,0.0064,0.8414,0.0340,1.0000,0.0000,PCC_WDT-Hamming
0.8377,0.0380,0.1393,0.0041,0.2063,0.0345,0.7586,0.0336,0.9810,0.0064,0.8414,0.0340,1.0000,0.0000,PCC_WDT-F1
0.8641,0.0134,0.1450,0.0051,0.2218,0.0143,0.7304,0.0218,0.9875,0.0069,0.8240,0.0180,1.0000,0.0000,PCC_DT_ROS-Subset
0.8641,0.0134,0.1450,0.0051,0.2218,0.0143,0.7304,0.0218,0.9875,0.0069,0.8240,0.0180,1.0000,0.0000,PCC_DT_ROS-Hamming
0.8641,0.0134,0.1450,0.0051,0.2218,0.0143,0.7304,0.0218,0.9875,0.0069,0.8240,0.0180,1.0000,0.0000,PCC_DT_ROS-F1
0.8560,0.0206,0.1454,0.0082,0.2273,0.0258,0.7453,0.0217,0.9779,0.0072,0.8396,0.0215,1.0000,0.0000,DMPCC_DT-Subset
0.8570,0.0212,0.1442,0.0089,0.2313,0.0167,0.7459,0.0132,0.9779,0.0072,0.8387,0.0197,1.0000,0.0000,DMPCC_DT-Hamming
0.9147,0.0502,0.1689,0.0351,0.2457,0.0172,0.7316,0.0237,0.9779,0.0072,0.8317,0.0216,1.0000,0.0000,DMPCC_DT-F1
0.8537,0.0271,0.1279,0.0028,0.2451,0.0215,0.7405,0.0334,0.9959,0.0038,0.8187,0.0311,1.0000,0.0000,PCC_LR-Subset
0.8556,0.0245,0.1266,0.0033,0.2429,0.0207,0.7430,0.0330,0.9959,0.0038,0.8194,0.0308,1.0000,0.0000,PCC_LR-Hamming
0.8823,0.0189,0.1355,0.0044,0.2474,0.0220,0.7065,0.0370,0.9948,0.0032,0.7961,0.0355,1.0000,0.0000,PCC_LR-F1
0.8658,0.0248,0.1439,0.0037,0.2701,0.0313,0.6677,0.0399,0.9874,0.0064,0.7681,0.0394,1.0000,0.0000,PCC_WLR-Subset
0.8648,0.0241,0.1431,0.0034,0.2678,0.0332,0.6709,0.0429,0.9874,0.0064,0.7702,0.0413,1.0000,0.0000,PCC_WLR-Hamming
0.8904,0.0258,0.1561,0.0023,0.2761,0.0265,0.6283,0.0362,0.9832,0.0078,0.7461,0.0347,1.0000,0.0000,PCC_WLR-F1
0.8458,0.0180,0.1249,0.0053,0.2616,0.0150,0.7226,0.0259,0.9938,0.0050,0.7984,0.0254,1.0000,0.0000,PCC_LR_ROS-Subset
0.8520,0.0231,0.1244,0.0050,0.2576,0.0178,0.7244,0.0305,0.9938,0.0050,0.7993,0.0295,1.0000,0.0000,PCC_LR_ROS-Hamming
0.8754,0.0206,0.1319,0.0063,0.2565,0.0160,0.7017,0.0322,0.9917,0.0052,0.7869,0.0321,1.0000,0.0000,PCC_LR_ROS-F1
0.8282,0.0232,0.1260,0.0033,0.2625,0.0085,0.7374,0.0262,0.9958,0.0021,0.8143,0.0256,1.0000,0.0000,DMPCC_LR-Subset
0.8282,0.0232,0.1258,0.0035,0.2620,0.0075,0.7394,0.0249,0.9958,0.0021,0.8159,0.0242,1.0000,0.0000,DMPCC_LR-Hamming
0.8303,0.0223,0.1262,0.0036,0.2628,0.0140,0.7363,0.0280,0.9958,0.0021,0.8137,0.0273,1.0000,0.0000,DMPCC_LR-F1
0.9332,0.0231,0.1993,0.0203,0.3229,0.0272,0.4034,0.0868,0.9486,0.0848,0.5675,0.0626,0.9600,0.0800,DMBRC-Subset
0.9332,0.0231,0.1993,0.0203,0.3229,0.0272,0.4034,0.0868,0.9486,0.0848,0.5675,0.0626,0.9600,0.0800,DMBRC-Hamming
0.9332,0.0231,0.1993,0.0203,0.3229,0.0272,0.4034,0.0868,0.9486,0.0848,0.5675,0.0626,0.9600,0.0800,DMBRC-F1
