Zero one Mean,Zero one Std,Hamming Mean,Hamming Std,F1 Mean,F1 Std,Phi avg Mean,Phi avg Std,Phi max Mean,Phi max Std,Psi avg Mean,Psi avg Std,Psi max Mean,Psi max Std,model
0.8899,0.0624,0.3716,0.0619,0.3978,0.0620,0.2888,0.1027,0.6481,0.2021,0.4970,0.0544,0.7938,0.1065,DMPCC_KMs-Subset
0.8949,0.0640,0.3701,0.0620,0.4018,0.0592,0.3009,0.1036,0.7159,0.1683,0.4980,0.0545,0.7997,0.1039,DMPCC_KMs-Hamming
0.9708,0.0178,0.4884,0.0331,0.4402,0.0291,0.5858,0.0575,0.9659,0.0333,0.6529,0.0262,0.9659,0.0333,DMPCC_KMs-F1
0.6893,0.0848,0.1893,0.0280,0.4777,0.0613,0.3869,0.0412,0.8667,0.1439,0.5142,0.0244,0.9000,0.1225,PCC_DBC-Subset
0.6893,0.0848,0.1893,0.0280,0.4777,0.0613,0.3869,0.0412,0.8667,0.1439,0.5142,0.0244,0.9000,0.1225,PCC_DBC-Hamming
0.6893,0.0848,0.1893,0.0280,0.4777,0.0613,0.3869,0.0412,0.8667,0.1439,0.5142,0.0244,0.9000,0.1225,PCC_DBC-F1
0.7212,0.0436,0.1912,0.0147,0.4532,0.0306,0.4241,0.0215,0.9711,0.0443,0.5488,0.0259,1.0000,0.0000,PCC_DBC_ROS-Subset
0.7212,0.0436,0.1912,0.0147,0.4532,0.0306,0.4241,0.0215,0.9711,0.0443,0.5488,0.0259,1.0000,0.0000,PCC_DBC_ROS-Hamming
0.7260,0.0511,0.1912,0.0147,0.4580,0.0294,0.4386,0.0396,0.9711,0.0443,0.5545,0.0326,1.0000,0.0000,PCC_DBC_ROS-F1
0.8286,0.0567,0.2569,0.0399,0.4535,0.0432,0.2919,0.0891,0.7390,0.1935,0.4717,0.0604,0.8439,0.1419,DMPCC_KMus-Subset
0.8286,0.0567,0.2562,0.0405,0.4542,0.0431,0.2929,0.0887,0.7390,0.1935,0.4717,0.0604,0.8439,0.1419,DMPCC_KMus-Hamming
0.9421,0.0327,0.3806,0.0403,0.4213,0.0247,0.3810,0.1674,0.8289,0.2880,0.5614,0.0973,0.9153,0.1538,DMPCC_KMus-F1
0.8207,0.0440,0.2447,0.0140,0.3603,0.0382,0.4610,0.0647,0.9348,0.0641,0.6387,0.0605,1.0000,0.0000,PCC_DT-Subset
